U,I,U error,I error
0.014000000000000002,0.0,0.002097617696340303,0.0
0.018,0.0,0.0018973665961010272,0.0
0.014000000000000002,4.5454545454545455e-06,0.0015491933384829664,4.312196809320518e-06
0.013000000000000001,4.5454545454545455e-06,0.0024698178070456937,4.312196809320518e-06
0.01,1.3636363636363637e-05,0.004898979485566356,1.293659042796155e-05
0.012,1.8181818181818182e-05,0.004647580015448899,1.724878723728207e-05
0.014000000000000002,4.5454545454545455e-06,0.002898275349237888,4.312196809320518e-06
0.027000000000000003,4.5454545454545455e-06,0.004909175083453431,4.312196809320518e-06
0.019,4.5454545454545455e-06,0.0029832867780352594,4.312196809320519e-06
0.019,0.0,0.0047853944456021594,0.0
0.031,4.545454545454545e-05,0.009322016949137134,2.3177361425421745e-05
0.034,4.5454545454545455e-06,0.0035213633723318017,4.312196809320518e-06
0.031,1.3636363636363637e-05,0.003860051813123756,9.203843968780268e-06
0.04,4.5454545454545455e-06,0.0024494897427831783,4.312196809320518e-06
0.036,1.8181818181818182e-05,0.002898275349237888,9.534625892455923e-06
0.044,0.0,0.004049691346263317,0.0
0.046,1.3636363636363637e-05,0.0035213633723318013,9.203843968780268e-06
0.044,4.5454545454545455e-06,0.0037947331922020544,4.312196809320518e-06
0.039,4.5454545454545455e-06,0.006549809157525126,4.312196809320519e-06
0.05700000000000001,4.5454545454545455e-06,0.004012480529547776,4.312196809320519e-06
0.05800000000000001,0.0,0.001264911064067351,0.0
0.05600000000000001,4.545454545454545e-05,0.007238784428341542,3.85694607919935e-05
0.06100000000000001,2.7272727272727273e-05,0.007674633541739957,1.1499191491521378e-05
0.06900000000000002,0.0,0.0029832867780352594,0.0
0.076,9.090909090909091e-06,0.001549193338482966,5.749595745760689e-06
0.07300000000000001,4.5454545454545455e-06,0.0054863466897380805,4.312196809320518e-06
0.07899999999999999,1.3636363636363637e-05,0.002213594362117865,9.203843968780268e-06
0.078,1.3636363636363637e-05,0.008809086218218097,6.586989430086108e-06
0.078,4.5454545454545455e-06,0.005796550698475775,4.312196809320518e-06
0.093,9.090909090909091e-06,0.0028460498941515417,5.749595745760689e-06
0.086,5e-05,0.007375635565834309,3.367933373244128e-05
0.09,9.090909090909091e-06,0.006000000000000002,8.624393618641037e-06
0.101,0.0,0.004571651780264983,0.0
0.098,4.5454545454545455e-06,0.007042726744663603,4.312196809320518e-06
0.10400000000000001,1.3636363636363637e-05,0.0047328638264796915,9.203843968780268e-06
0.10900000000000001,1.3636363636363637e-05,0.002983286778035259,9.203843968780268e-06
0.10699999999999998,3.6363636363636364e-05,0.006640783086353597,3.0013770944034874e-05
0.11099999999999999,3.181818181818182e-05,0.005186520991955977,2.0378647064963538e-05
0.125,4.5454545454545455e-06,0.002549509756796394,4.312196809320519e-06
0.12599999999999997,1.3636363636363637e-05,0.001549193338482967,6.586989430086108e-06
0.13200000000000003,4.5454545454545455e-06,0.006449806198638841,4.312196809320518e-06
0.121,1.8181818181818182e-05,0.005907622195096772,7.041787902195303e-06
0.125,1.8181818181818182e-05,0.006519202405202648,9.534625892455923e-06
0.139,4.5454545454545455e-06,0.000948683298050514,4.312196809320519e-06
0.144,0.0,0.002097617696340301,0.0
0.135,4.545454545454545e-05,0.008154753215150044,3.85694607919935e-05
0.143,9.090909090909091e-06,0.004483302354291978,8.624393618641036e-06
0.146,0.0,0.002097617696340301,0.0
