Average Voltage,Average Current,Uncertainty Voltage,Uncertainty Current
0.015999999999999997,4.545454545454546e-05,0.006693280212272604,3.149183286488868e-05
0.02,1.8181818181818182e-05,0.00282842712474619,1.6262312563634833e-05
0.014000000000000002,2.7272727272727273e-05,0.002190890230020664,9.958591954639385e-06
0.013999999999999999,2.7272727272727273e-05,0.003577708763999663,9.958591954639385e-06
0.018,1.8181818181818182e-05,0.004381780460041328,9.958591954639385e-06
0.01,4.545454545454545e-05,0.008944271909999158,4.065578140908708e-05
0.018,2.7272727272727273e-05,0.0017888543819998314,9.958591954639385e-06
0.024,3.6363636363636364e-05,0.004560701700396552,1.5212000482437737e-05
0.023999999999999994,2.7272727272727273e-05,0.0021908902300206644,9.958591954639385e-06
0.019999999999999997,7.272727272727273e-05,0.011661903789690602,5.5447093389006915e-05
0.03,3.6363636363636364e-05,0.0028284271247461905,8.131156281817418e-06
0.04,1.8181818181818182e-05,0.004000000000000001,9.958591954639385e-06
0.038000000000000006,5.4545454545454546e-05,0.00438178046004133,1.9917183909278766e-05
0.030000000000000006,8.181818181818183e-05,0.009380831519646858,4.340849595023027e-05
0.048,1.8181818181818182e-05,0.0033466401061363017,9.958591954639385e-06
0.044000000000000004,1.8181818181818182e-05,0.004560701700396552,9.958591954639385e-06
0.048,2.7272727272727273e-05,0.001788854381999831,9.958591954639385e-06
0.055999999999999994,2.7272727272727273e-05,0.00920869154657707,9.958591954639385e-06
0.057999999999999996,1.8181818181818182e-05,0.0033466401061363034,9.958591954639385e-06
0.062,1.8181818181818182e-05,0.0017888543819998325,9.958591954639385e-06
0.05800000000000001,3.6363636363636364e-05,0.00438178046004133,8.131156281817418e-06
0.06200000000000001,1.8181818181818182e-05,0.0033466401061363026,9.958591954639385e-06
0.07,1.8181818181818182e-05,0.004898979485566356,9.958591954639385e-06
0.068,4.545454545454545e-05,0.0017888543819998333,1.28564869306645e-05
0.07200000000000001,6.363636363636364e-05,0.007694153624668538,2.073046227452978e-05
0.068,3.6363636363636364e-05,0.005215361924162119,8.131156281817418e-06
0.09,0.0,0.0,0.0
0.088,2.7272727272727273e-05,0.00521536192416212,1.6262312563634833e-05
0.09600000000000002,3.6363636363636364e-05,0.006066300355241241,8.131156281817418e-06
0.09,2.7272727272727273e-05,0.0028284271247461905,9.958591954639385e-06
0.092,2.7272727272727273e-05,0.0033466401061363026,1.6262312563634833e-05
0.094,2.7272727272727273e-05,0.005366563145999494,2.4393468845452247e-05
0.10800000000000001,9.090909090909091e-06,0.0017888543819998305,8.131156281817417e-06
0.11000000000000001,1.8181818181818182e-05,0.0039999999999999975,9.958591954639385e-06
0.10600000000000001,2.7272727272727273e-05,0.008294576541331087,9.958591954639385e-06
0.10400000000000001,5.4545454545454546e-05,0.005366563145999498,2.987577586391815e-05
0.12,9.090909090909091e-06,0.0028284271247461905,8.131156281817417e-06
0.126,1.8181818181818182e-05,0.0021908902300206636,9.958591954639385e-06
0.11400000000000002,3.6363636363636364e-05,0.0077974354758471726,8.131156281817418e-06
0.128,9.090909090909091e-06,0.00438178046004133,8.131156281817417e-06
0.14,9.090909090909091e-06,0.006928203230275511,8.131156281817417e-06
0.138,9.090909090909091e-06,0.0033466401061363013,8.131156281817417e-06
0.138,1.8181818181818182e-05,0.0033466401061363013,9.958591954639385e-06
0.14200000000000002,1.8181818181818182e-05,0.0033466401061363004,9.958591954639385e-06
0.144,1.8181818181818182e-05,0.002190890230020664,9.958591954639385e-06
0.146,2.7272727272727273e-05,0.0021908902300206666,9.958591954639385e-06
0.14,1.8181818181818182e-05,0.00748331477354788,9.958591954639385e-06
0.148,2.7272727272727273e-05,0.003346640106136305,9.958591954639385e-06
0.15399999999999997,5.4545454545454546e-05,0.0060663003552412385,8.131156281817418e-06
0.158,3.6363636363636364e-05,0.005215361924162118,8.131156281817418e-06
0.164,1.8181818181818182e-05,0.0021908902300206666,9.958591954639385e-06
0.16199999999999998,4.545454545454546e-05,0.0017888543819998281,0.0
0.17,9.090909090909091e-06,0.0028284271247461883,8.131156281817417e-06
0.172,3.6363636363636364e-05,0.0017888543819998333,8.131156281817418e-06
