U,I,U error,I error
0.007999999999999998,1.3636363636363637e-05,0.00340587727318528,1.293659042796155e-05
0.01,1.3636363636363637e-05,0.0037416573867739417,6.586989430086108e-06
0.009999999999999998,0.0,0.002449489742783178,0.0
0.018999999999999996,0.0,0.004989989979949859,0.0
0.018000000000000002,0.0,0.002366431913239846,0.0
0.015,1.3636363636363637e-05,0.006670832032063167,9.203843968780268e-06
0.014000000000000002,3.181818181818182e-05,0.004516635916254486,2.1368471406442107e-05
0.019,1.3636363636363637e-05,0.0067007462271003815,9.203843968780268e-06
0.020999999999999998,4.5454545454545455e-06,0.002983286778035259,4.312196809320518e-06
0.012999999999999998,5e-05,0.009279008567729634,3.827369897276524e-05
0.030000000000000006,4.5454545454545455e-06,0.0031622776601683794,4.312196809320519e-06
0.034,1.8181818181818182e-05,0.00850881895447306,1.724878723728207e-05
0.028000000000000004,3.181818181818182e-05,0.006449806198638839,2.5753119044027808e-05
0.03499999999999999,4.5454545454545455e-06,0.0032403703492039295,4.312196809320519e-06
0.04,1.8181818181818182e-05,0.004,7.041787902195304e-06
0.041999999999999996,1.3636363636363637e-05,0.0036878177829171546,9.203843968780268e-06
0.048,0.0,0.0064498061986388395,0.0
0.049999999999999996,0.0,0.001999999999999999,0.0
0.06000000000000001,9.090909090909091e-06,0.005999999999999999,8.624393618641036e-06
0.053000000000000005,0.0,0.004012480529547776,0.0
0.052000000000000005,2.2727272727272726e-05,0.007720103626247512,2.1560984046602586e-05
0.072,9.090909090909091e-06,0.00525357021462548,5.749595745760689e-06
0.07400000000000002,4.5454545454545455e-06,0.006663332499583074,4.312196809320518e-06
0.06300000000000001,6.363636363636364e-05,0.01049285471165974,4.321768845092624e-05
0.08099999999999999,4.5454545454545455e-06,0.006848357467305573,4.312196809320518e-06
0.072,4.5454545454545455e-06,0.003098386676965933,4.312196809320519e-06
0.074,1.3636363636363637e-05,0.0065115282384398815,6.586989430086108e-06
